Well_ID,Production_Month,Gross_Oil_BBL
WELL-001,2023-01,1000.00
WELL-001,2023-02,945.32
WELL-001,2023-03,898.76
WELL-001,2023-04,847.91
WELL-001,2023-05,805.23
WELL-001,2023-06,761.45
WELL-001,2023-07,724.89
WELL-001,2023-08,685.12
WELL-001,2023-09,651.78
WELL-001,2023-10,618.34
WELL-001,2023-11,589.56
WELL-001,2023-12,558.92
WELL-001,2024-01,531.45
WELL-001,2024-02,502.89
WELL-001,2024-03,478.34
WELL-001,2024-04,453.21
WELL-001,2024-05,431.67
WELL-001,2024-06,408.95
WELL-001,2024-07,389.23
WELL-001,2024-08,368.45
WELL-001,2024-09,350.78
WELL-001,2024-10,332.56
WELL-001,2024-11,316.89
WELL-001,2024-12,300.12
WELL-002,2023-01,1500.00
WELL-002,2023-02,1423.45
WELL-002,2023-03,1352.89
WELL-002,2023-04,1278.34
WELL-002,2023-05,1215.67
WELL-002,2023-06,1148.92
WELL-002,2023-07,1091.23
WELL-002,2023-08,1031.45
WELL-002,2023-09,980.34
WELL-002,2023-10,926.78
WELL-002,2023-11,881.23
WELL-002,2023-12,833.56
WELL-002,2024-01,793.12
WELL-002,2024-02,750.45
WELL-002,2024-03,714.23
WELL-002,2024-04,675.89
WELL-002,2024-05,643.78
WELL-002,2024-06,609.23
WELL-002,2024-07,580.45
WELL-002,2024-08,549.12
WELL-002,2024-09,523.34
WELL-002,2024-10,495.67
WELL-002,2024-11,472.89
WELL-002,2024-12,447.56
WELL-003,2023-01,800.00
WELL-003,2023-02,758.92
WELL-003,2023-03,721.45
WELL-003,2023-04,681.23
WELL-003,2023-05,648.34
WELL-003,2023-06,612.78
WELL-003,2023-07,583.45
WELL-003,2023-08,551.89
WELL-003,2023-09,525.67
WELL-003,2023-10,497.23
WELL-003,2023-11,474.12
WELL-003,2023-12,448.56
WELL-003,2024-01,427.34
WELL-003,2024-02,404.89
WELL-003,2024-03,385.67
WELL-003,2024-04,365.12
WELL-003,2024-05,347.89
WELL-003,2024-06,328.45
WELL-003,2024-07,313.23
WELL-003,2024-08,296.78
WELL-003,2024-09,283.45
WELL-003,2024-10,268.12
WELL-003,2024-11,256.34
WELL-003,2024-12,242.89
WELL-004,2023-01,1200.00
WELL-004,2023-02,1138.45
WELL-004,2023-03,1082.34
WELL-004,2023-04,1021.67
WELL-004,2023-05,972.89
WELL-004,2023-06,919.45
WELL-004,2023-07,874.23
WELL-004,2023-08,826.78
WELL-004,2023-09,786.34
WELL-004,2023-10,743.89
WELL-004,2023-11,708.56
WELL-004,2023-12,670.23
WELL-004,2024-01,638.45
WELL-004,2024-02,604.12
WELL-004,2024-03,575.89
WELL-004,2024-04,545.23
WELL-004,2024-05,519.67
WELL-004,2024-06,491.34
WELL-004,2024-07,468.45
WELL-004,2024-08,443.12
WELL-004,2024-09,422.78
WELL-004,2024-10,400.23
WELL-004,2024-11,382.45
WELL-004,2024-12,362.89
WELL-005,2023-01,2000.00
WELL-005,2023-02,1897.23
WELL-005,2023-03,1803.45
WELL-005,2023-04,1702.89
WELL-005,2023-05,1621.34
WELL-005,2023-06,1532.67
WELL-005,2023-07,1458.92
WELL-005,2023-08,1378.45
WELL-005,2023-09,1311.23
WELL-005,2023-10,1239.78
WELL-005,2023-11,1181.56
WELL-005,2023-12,1117.34
WELL-005,2024-01,1064.23
WELL-005,2024-02,1006.78
WELL-005,2024-03,959.45
WELL-005,2024-04,907.89
WELL-005,2024-05,865.23
WELL-005,2024-06,818.67
WELL-005,2024-07,780.34
WELL-005,2024-08,738.92
WELL-005,2024-09,704.56
WELL-005,2024-10,667.23
WELL-005,2024-11,637.45
WELL-005,2024-12,604.12
